PC1,PC2
-0.22134760812343549,0.8795102606845165
-0.09970757145724587,0.17923155540781927
0.12673930351265766,-1.6541504278987964
0.06478756958327533,0.20284385921135667
-0.05722533134292363,-0.030007892620545554
0.26183314910906125,-1.6346814551096471
0.10723859879085064,-1.2260150664468343
0.1072110508516322,-1.5851603525020994
0.1849025105162839,-1.1428972526822103
0.22729795495269375,-1.6391171862028298
0.8844791674462107,-1.4034519237307208
0.1017225265932471,-1.2985344736758102
-0.1311099556182261,-0.1121620298147631
-0.052262557051785376,-0.24410362550224876
-0.13829098373302454,0.7477307570129216
-0.06266537845337276,0.18488275428388226
0.19508355154012666,0.7951421220906509
-0.23155614382061546,0.3758771945425119
0.10969890314293428,-1.65655181934373
-0.27042568056852373,0.8008519475349747
0.8808790083248678,-1.4009416651681725
-0.09637791365544977,1.041036630478118
-0.31361569386139576,0.9382495902614609
-0.1249321204552955,0.46350725266196513
0.10546611356990508,-1.2984380010773102
0.28422347053089786,-1.2723847306045224
0.09852677541917407,-1.0837586393891616
0.14095814126503567,-1.293436343262869
0.05248235707148612,-1.3059046530816736
0.2296538507454759,-1.1357285679684013
0.08409858994746597,-1.5166753759777996
0.25441990786116797,-1.2774469234300398
-0.11850841549078928,-1.2582591935171963
-0.11506357860340327,-0.10990071953745062
0.07780319250257674,-1.661046671870665
0.08326748514907185,-1.5167924981057663
0.058258260220060955,-1.3050906930744666
0.23500850771786314,-1.49540863472603
0.33711799232947276,-1.5523299942773188
-0.17949363210308247,0.1679878311230138
0.5582612191689326,-1.5211657351334524
-0.028328510081604676,0.9071422579713304
-0.18659494162626505,0.23872915380794416
-0.005571772900479883,-1.1706017124663595
0.24775809728114198,-1.2779546420699168
0.1856717330356426,-1.1432199376860492
-0.3117443320636871,0.9385133089601939
-0.1101814560993101,0.17818662626575824
0.07217915799852646,-1.5900971665423815
-0.28018424004163844,0.7277346745031061
0.06816506464742746,0.20375091382585891
0.15220079007066287,-1.578820244727265
0.1578037695973049,0.21724527935039523
-0.2815382253423335,0.7275438662681405
0.04850524665364061,-1.4499492480454026
0.16774194130151146,-1.6483721960809097
-0.3319464425775158,1.2943766759545425
0.06633284548368025,-1.662663112365252
-0.2433665964648649,0.3024707617139149
-0.1259208632360999,0.03205336178855692
-0.0753871686689909,-0.10387829781075934
0.6494542133105586,-1.4357102703780225
0.32067861534850556,-1.1237632200599592
0.22620016298854118,-1.1370774463871114
-0.3305747606570871,1.1510858510832513
-0.17817267083411167,0.16817398549859006
-0.1035383591372612,0.17869170771864815
-0.2882488342929264,0.9418243747871101
0.004399825172274993,0.19433381193188842
0.3171323650709851,-1.6260263277068618
-0.012520350462366764,0.1923804494370153
